id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,detailed_mood,vocal_presence,complexity
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78,2020,euphoric,0.82,0.55
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,65,2020,dreamy,0.10,0.30
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,55,2010,aggressive,0.70,0.65
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,72,2020,dreamy,0.05,0.20
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,85,2020,aggressive,0.78,0.50
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,42,2020,dreamy,0.02,0.25
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,38,2010,nostalgic,0.55,0.80
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,61,2010,melancholy,0.20,0.60
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,58,2020,dreamy,0.08,0.25
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,70,2020,euphoric,0.75,0.45
11,Concrete Jungle,Braze MC,hip-hop,energetic,0.86,95,0.72,0.91,0.07,80,2010,aggressive,0.90,0.70
12,Empty Hallways,Clara Voss,folk,sad,0.22,64,0.18,0.33,0.95,45,2020,melancholy,0.85,0.35
13,Neon Carnival,DJ Fluxwave,edm,euphoric,0.97,140,0.90,0.95,0.03,88,2020,euphoric,0.15,0.55
14,Velvet Underground,Sable Keys,r&b,romantic,0.55,88,0.78,0.69,0.44,62,2010,romantic,0.88,0.50
15,Thunderhead,Iron Drift,metal,angry,0.98,168,0.22,0.58,0.06,48,2010,aggressive,0.65,0.85
16,Porch Swing Summer,The Dalloway,country,nostalgic,0.44,96,0.75,0.61,0.88,55,2010,nostalgic,0.80,0.35
17,Blue Hour,Maren Sol,blues,melancholy,0.31,70,0.25,0.42,0.82,35,2000,melancholy,0.75,0.55
18,Tropicalia Dream,Coro Leve,reggae,peaceful,0.52,82,0.83,0.74,0.61,50,2000,peaceful,0.70,0.40
19,String Theory,Arco Ensemble,classical,calm,0.18,58,0.66,0.28,0.97,30,2010,peaceful,0.00,0.90
20,Golden Static,Wren Park,soul,nostalgic,0.61,102,0.80,0.67,0.53,58,2000,nostalgic,0.85,0.55
